"","KE ID","AOP ID","Molecular Pathways"
"18","Activation Of Specific Nuclear Receptors Ppar-Gamma Activation","PPARgamma activation leading to sarcomas in rats, mice, and hamsters","GO:0035357"
"19","Increased Secretion Of Local Growth Factors","PPARgamma activation leading to sarcomas in rats, mice, and hamsters","GO:0046903"
"20","Increased Proliferation Of Mesenchymal Cells","PPARgamma activation leading to sarcomas in rats, mice, and hamsters","GO:0010463"
"21","Increased Igf-1 Mouse","PPARgamma activation leading to sarcomas in rats, mice, and hamsters","CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R"
"22","Activation Beta-2 Adrenergic Receptor","Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"23","Increased Activity Beta-2 Adrenergic Receptor","Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"24","Relaxation Smooth Muscle","Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse","GO:0044557"
"25","Proliferation/Clonal Expansion Smooth Muscle","Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse","GO:0008283"
"26","Hypertrophy/Hyperplasia Smooth Muscle","Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse","SMOOTH MUSCLE CELL PROLIFERATION"
"27","Decreased Ovarian E2","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ABNORMAL OVARIAN MORPHOLOGY"
"28","Suppression Estrogen Receptor Er Activity","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","GO:0030284"
"29","Increased Secretion Of Gnrh From Hypothalamus","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","GO:0046879"
"30","Increased Secrection Of Fsh From Anterior Pituitary","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","GO:0046884"
"31","Increased Secretion Of Lh From Anterior Pituitary","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ANTERIOR PITUITARY AGENESIS"
"32","Hyperplasia Ovarian Stromal Cells","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ADRENAL HYPERPLASIA"
"33","Promotion Ovarian Adenomas","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ABNORMAL OVARIAN MORPHOLOGY"
"34","Promotion Ovarian Granular Cell Tumors","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ABNORMAL OVARIAN MORPHOLOGY"
"35","Decrease E2 Blood Concentrations At Hypothalamus","Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"36","Increased Ppar-Alpha Activation","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","GO:0035357"
"37","Decreased Bile Flow","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","DRUG INDUCTION OF BILE ACID PATHWAY"
"38","Increased Cholestasis","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","CHOLESTASIS"
"39","Alteration Lipid Metabolism","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","GO:0006629"
"40","Increased Cellular Proliferation / Hyperplasia Of Acinar Cells","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","GO:0008283"
"41","Increased Pancreatic Acinar Tumors","PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse","PANCREATIC HYPOPLASIA"
"42","Activation Estrogen Receptor Alpha","Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.","GO:0030520"
"43","Proliferation/Clonal Expansion Aberrant Basal Cells","Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.","GO:0008283"
"44","Squamous Metaplasia Aberrant Basal Cells","Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.","SQUAMOUS CELL CARCINOMA"
"45","Increased Hyperplasia Glandular Epithelial Cells Of Endometrium","Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.","ABNORMALITY OF THE ENDOMETRIUM"
"46","Increased Adenosquamous Carcinomas Of Endometrium","Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.","ABNORMALITY OF THE ENDOMETRIUM"
"47","Decreased Gnrh Pulsatility/Release In Hypothalamus","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","GO:0046879"
"48","Decreased Lh Surge From Anterior Pituitary","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","GO:0046879"
"49","Interruption Ovulation","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","OVULATION"
"50","Prolonged Estrus","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","PROLONGED NEONATAL JAUNDICE"
"51","Increased Circulating Estrogen Levels","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"52","Increased Prolactin Exposure","GnRH pulse disruption leading to mammary adenomas and carcinomas in the SD rat.","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"53","Increased Lactotroph Hyperplasia And Hypertrophy","GnRH pulse disruption leading to pituitary adenomas and carcinomas in the SD rat.","ADRENAL HYPERPLASIA"
"54","Increased Adenomas Pituitary","GnRH pulse disruption leading to pituitary adenomas and carcinomas in the SD rat.","ABNORMALITY OF THE PITUITARY GLAND"
"55","Decreased Dopaminergic Activity","Anti-dopaminergic activity leading to mammary adenomas and carcinomas in the SD rat","GO:0001963"
"56","Increased Prolactin Secretion","Anti-dopaminergic activity leading to mammary adenomas and carcinomas in the SD rat","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"57","Persistent Cytotoxicity Pleura Or Peritoneum","Chronic cytotoxicity of the serous membrane leading to pleural/peritoneal mesotheliomas in the rat.","ABNORMAL PLEURA MORPHOLOGY"
"58","Increased Inflammation","Chronic cytotoxicity of the serous membrane leading to pleural/peritoneal mesotheliomas in the rat.","GO:0006954"
"59","Increased Cell Proliferation Mesothelium","Chronic cytotoxicity of the serous membrane leading to pleural/peritoneal mesotheliomas in the rat.","GO:0008283"
"60","Increased Blood Uric Acid Concentration","Organic anion transporter (OAT1) inhibition leading to renal failure and mortality","INCREASED LEVEL OF HIPPURIC ACID IN URINE"
"61","Occurrence Renal Proximal Tubular Necrosis","Organic anion transporter (OAT1) inhibition leading to renal failure and mortality","RENAL TUBULAR DYSFUNCTION"
"62","Increased Blood Potassium Concentration","Organic anion transporter (OAT1) inhibition leading to renal failure and mortality","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"63","Impairment Endothelial Network","Disruption of VEGFR Signaling Leading to Developmental Defects","GO:0003158"
"64","Inhibition Cyclooxygenase 1 Activity","Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality","GO:0004666"
"65","Decreased Prostaglandin F2alpha Concentration Plasma","Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality","DECREASED PLASMA CARNITINE"
"66","Occurrence Renal Ischemia","Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality","TISSUE ISCHEMIA"
"67","Occurrence Cardiac Arrhythmia","Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality","VENTRICULAR ARRHYTHMIA"
"68","Increased Deformed Wing Virus Levels","Varroa mite infestation increases virus levels leading to colony loss/failure","ABNORMALITY OF THE WING OF THE ILIUM"
"69","Agonism Estrogen Receptor","Estrogen receptor agonism leading to reproductive dysfunction","GO:0030284"
"70","Increased Energetic Demands And Therefore Metabolic Stress","Nosema infection increases energetic demands leading to colony loss/failure","OXIDATIVE STRESS"
"71","Decreased Triiodothyronine T3 In Tissues","Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis","ABNORMAL THYROID HORMONE LEVEL"
"72","Antagonism Estrogen Receptor","Estrogen receptor antagonism leading to reproductive dysfunction","GO:0030284"
"73","Failure In Vascular Repair Mechanisms Unresolved Blood Loss Hemorrhage","Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage","GO:0042060"
"74","Hemostasis Depletion From Blood Of Fully Functional Carboxylated Clotting Factors","Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage","BLOOD CLOTTING CASCADE"
"75","Reduced Fitness Or Even Mortality Acidosis Hypovolemic Shock And Organ Dysfunction","Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage","MORTALITY AGING"
"76","Increase Fa Influx","LXR activation leading to hepatic steatosis","GO:2000193"
"77","Osteoporosis And Vascular Calcification Bone Deterioration","Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage","VASCULAR CALCIFICATION"
"78","Inhibition Iodotyrosine Deiodinase Iyd","Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis","GO:0003824"
"79","Inhibition Deiodinase 3","Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis","GO:0003824"
"80","Increased Triiodothyronine T3 In Tissues","Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis","ABNORMAL THYROID HORMONE LEVEL"
"81","Inhibition Dual Oxidase","Dual oxidase (DUOX) inhibition leading to altered amphibian metamorphosis","GO:0003824"
"82","Activation Hepatic Nuclear Receptors","Hepatic nuclear receptor activation leading to altered amphibian metamorphosis","NUCLEAR RECEPTORS"
"83","Increased Hepatic Thyroid Hormone Uptake/Transport","Hepatic nuclear receptor activation leading to altered amphibian metamorphosis","ABNORMAL THYROID HORMONE LEVEL"
"84","Activation Fas","LXR activation leading to hepatic steatosis","FAS LIGAND FASL PATHWAY AND STRESS INDUCTION OF HEAT SHOCK PROTEINS HSP REGULATION"
"85","Increased Oocyte Maturation","5-hydroxytryptamine transporter (5-HTT) inhibition leading to population increase","GO:0048469"
"86","Increased Reproductive Success","5-hydroxytryptamine transporter inhibition leading to increased reproductive success and population increase","GO:0022414"
"87","Activation Nadph Oxidase","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","CTOME RHO GTPASES ACTIVATE NADPH OXIDASES"
"88","Decreased Sodium Conductance 2","Sodium channel (Nav1.1) inhibition leading to population decline","ABNORMAL BLOOD SODIUM CONCENTRATION"
"89","Decreased Gaba Release","Sodium channel (Nav1.1) inhibition leading to population decline","DECREASED LEVEL OF GABA IN SERUM"
"90","Formation Formation Of Hemoglobin Adducts","Oxidation of iron in hemoglobin leading to hematotoxicity","GO:0042541"
"91","Increase Cell Proliferation Epithelial Cells","Estrogen receptor activation leading to breast cancer","GO:0008283"
"92","Decreased Apoptosis Epithelial Cells","Estrogen receptor activation leading to breast cancer","GO:0006915"
"93","Increased Er Binding To Dna Classical Pathway","Estrogen receptor activation leading to breast cancer","GO:0030331"
"94","Increased Er Binding To Tf To Dna Non-Classical Pathway","Estrogen receptor activation leading to breast cancer","GO:0030331"
"95","Increased Proliferation Endothelial Cells","Estrogen receptor activation leading to breast cancer","GO:0001935"
"96","N/A Gap","Cyclooxygenase inhibition leading reproductive failure","SANDAL GAP"
"97","Increased Migration Endothelial Cells","Estrogen receptor activation leading to breast cancer","GO:0043542"
"98","Increased Non-Genomic Signaling","Estrogen receptor activation leading to breast cancer","INCREASED HEMOGLOBIN"
"99","N/A Breast Cancer","Estrogen receptor activation leading to breast cancer","BREAST CANCER PATHWAY"
"100","Increased Invasion","Estrogen receptor activation leading to breast cancer","CELL MIGRATION AND INVASION THROUGH P75NTR"
"101","Inhibition Acetylcholinesterase Ache","Acetylcholinesterase inhibition leading to acute mortality","INHIBITION ACETYLCHOLINESTERASE ACHE"
"102","Suppression Il-2 And Il-4 Production","Inhibition of Calcineurin Activity Leading to Impaired T-Cell Dependent Antibody Response","GO:0032623"
"103","Induction Male Reproductive Tract","Juvenile hormone receptor agonism leading to male offspring induction associated population decline","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"104","Increased Angiogenesis","Estrogen receptor activation leading to breast cancer","GO:0001525"
"105","Opening Of Calcium Channel Calcium Influx","Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation","GO:0006816"
"106","Activation Glucocorticoid Receptor","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","GLUCOCORTICOID RECEPTOR PATHWAY"
"107","Sp Substance P Release Local Increase Of Sp","Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation","GO:0005184"
"108","Chronic Cough Respiratory Irritability","Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation","GO:0006954"
"109","Altered Gene Expression","Estrogen receptor activation leading to breast cancer","POSITIVE REGULATION OF GENE EXPRESSION"
"110","Altered Protein Production","Estrogen receptor activation leading to breast cancer","GO:0006412"
"111","Increased Motility","Estrogen receptor activation leading to breast cancer","GO:0048870"
"112","Increased Second Messenger Production","Estrogen receptor activation leading to breast cancer","GO:0019932"
"113","Narcosis","AOP from chemical insult to cell death","GO:0007009"
"114","Direct Mitochondrial Inhibition","AOP from chemical insult to cell death","CTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA"
"115","Reduction Ecdysis Motoneuron Bursts","Ecdysone receptor agonism leading to incomplete ecdysis associated mortality","GO:0019226"
"116","Reduction Excitatory Postsynaptic Potential","Ecdysone receptor agonism leading to incomplete ecdysis associated mortality","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"117","Reproductive Failure","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","GO:0000003"
"118","Increased Oxidative Stress","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","OXIDATIVE STRESS"
"119","Increased Oxidative Damage","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","OXIDATIVE DAMAGE"
"120","Increase Oxidative Stress / Activation Pmk-1 P38 Mapk","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","OXIDATIVE STRESS"
"121","Activation Hif-1","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","HIF1A AND PPARG REGULATION OF GLYCOLYSIS"
"122","Increased Dna Damage-Repair","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","DNA DAMAGE RESPONSE"
"123","Increased Dna Damage-Repair","NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans","GO:0006281"
"124","Activation Jak/Stat Pathway","Janus kinase (JAK)/Signal transducer and activator of transcription (STAT) and Transforming growth factor (TGF)-beta pathways activation leading to reproductive failure","G JAK STAT SIGNALING PATHWAY"
"125","Activation Tgf-Beta Pathway","Janus kinase (JAK)/Signal transducer and activator of transcription (STAT) and Transforming growth factor (TGF)-beta pathways activation leading to reproductive failure","G TGF BETA SIGNALING PATHWAY"
"126","Up Regulation Srebf2","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP"
"127","Up Regulation Unsaturated Fatty Acid","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","GO:0006636"
"128","Down Regulation Gss And Gsts Gene","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","GO:0004364"
"129","Glutathione Synthesis","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","GLUTATHIONE METABOLIC PROCESS"
"130","Activation 3-Hydroxy-3-Methylglutaryl-Coa Reductase Gene","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","GO:0003857"
"131","Perturbation Of Cholesterol","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"132","Reduction Gonadotropins Circulating Concentrations","Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish)","ABNORMAL CIRCULATING RENIN"
"133","Glutathione Homeostasis","Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP","GLUTATHIONE METABOLIC PROCESS"
"134","Activation Jnk","Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building","JNK CASCADE"
"135","Activation Foxo","Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building","CTOME FOXO MEDIATED TRANSCRIPTION"
"136","Inhibition Wnt Pathway","Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building","REGULATION OF WNT SIGNALING PATHWAY"
"137","Defect Of Embryogenesis","Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building","GO:0009790"
"138","Depletion Gsh","Glutathione conjugation leading to reproductive dysfunction via oxidative stress","G GLUTATHIONE METABOLISM"
"139","Down Regulation Gulcose-6-Phosphate Dehydrogenase","Oxidation of iron in hemoglobin leading to hematotoxicity","ABNORMAL LACTATE DEHYDROGENASE LEVEL"
"140","N/A Hepatotoxicity Hepatopathy Including A Constellation Of Observable Effects","Sustained AhR Activation leading to Rodent Liver Tumours","ABNORMALITY OF THE LIVER"
"141","N/A Oxidative Stress","Cyp2E1 Activation Leading to Liver Cancer","OXIDATIVE STRESS"
"142","Decreased Hsd17b10 Expression","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","STEROID HORMONE MEDIATED SIGNALING PATHWAY"
"143","Induction Ikb Inhibitory Protein","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","CTOME IKBA VARIANT LEADS TO EDA ID"
"144","Inhibition Inducible Nitric Oxide Synthase By Metabolite Cga 265307","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","REGULATION OF NITRIC OXIDE SYNTHASE ACTIVITY"
"145","Increase Inflammation","Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)","GO:0006954"
"146","Suppression Inflammatory Cytokines","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","GO:0002534"
"147","N/A Insufficient Or Incorrect Dna Repair","Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations","GO:0006281"
"148","Increase Liver And Splenic Hemosiderosis","Oxidation of iron in hemoglobin leading to hematotoxicity","ABNORMAL LIVER MORPHOLOGY"
"149","Decreased Androgen Receptor Activity","Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)","GO:0004882"
"150","Induction Liver “Dysfunctional” Changes By Cga 330050","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","ABNORMAL LIVER MORPHOLOGY"
"151","Activation Long Term Ahr Receptor Driven Direct And Indirect Gene Expression Changes","Sustained AhR Activation leading to Rodent Liver Tumours","CTOME ARYL HYDROCARBON RECEPTOR SIGNALLING"
"152","Decreased Long-Term Potentiation Ltp","Calcium-mediated neuronal ROS production and energy imbalance","GO:0060291"
"153","Activation Lxr","LXR activation leading to hepatic steatosis","LIVER X RECEPTOR PATHWAY"
"154","Decreased Lymphocytes","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","LYMPHOCYTE APOPTOTIC PROCESS"
"155","N/A Methemoglobinemia Decreased Hemoglobin Hematocrit Red Blood Cell Number","Oxidation of iron in hemoglobin leading to hematotoxicity","PURE RED CELL APLASIA"
"156","Disruption Mitochondrial Electron Transport Chain","Calcium-mediated neuronal ROS production and energy imbalance","ELECTRON TRANSPORT CHAIN"
"157","Decreased Mitochondrial Fatty Acid Beta-Oxidation","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","GO:0006635"
"158","Activation Ahr","Aryl hydrocarbon receptor activation leading to early life stage mortality, via increased COX-2","ARYL HYDROCARBON RECEPTOR PATHWAY"
"159","Altered Neuroanatomy","XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","GO:0048856"
"160","N/A Neuroinflammation","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging","NEUROINFLAMMATION"
"161","N/A Neuronal Dysfunction","Increased LCN2/iron complex leading to neurological disorders","GO:0036475"
"162","Altered Neurophysiology","XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","NEURON CELLULAR HOMEOSTASIS"
"163","Decreased Nitric Oxide","Calcium-mediated neuronal ROS production and energy imbalance","RESPONSE TO NITRIC OXIDE"
"164","Inhibition Nmdars","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging","CTOME ACTIVATION OF AMPK DOWNSTREAM OF NMDARS"
"165","Inhibition Nuclear Factor Kappa B Nf-Kb","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","GO:0007249"
"166","Altered Regulation Alpha Hemoglobin","Oxidation of iron in hemoglobin leading to hematotoxicity","HEMOGLOBIN METABOLIC PROCESS"
"167","Bile Accumulation Pathological Condition","Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)","CTOME BILE ACID AND BILE SALT METABOLISM"
"168","Decreased Pck1 Expression Control Point For Glycolysis/Gluconeogenesis Pathway","AhR activation leading to hepatic steatosis","GLYCOLYSIS AND GLUCONEOGENESIS"
"169","Reduction Plasma 17beta-Estradiol Concentrations","Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female","RESPONSE TO ESTRADIOL"
"170","Increase Plasma Vitellogenin Concentrations","Estrogen receptor agonism leading to reproductive dysfunction","DECREASED PLASMA CARNITINE"
"171","Reduction Plasma Vitellogenin Concentrations","Aromatase inhibition leading to reproductive dysfunction","DECREASED PLASMA CARNITINE"
"172","Activation Androgen Receptor","Androgen receptor agonism leading to long anogenital distance in female offspring","GO:0004882"
"173","Reduction Testosterone Level","Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring","TESTOSTERONE BIOSYNTHETIC PROCESS"
"174","Decreased Ppar-Alpha Activation","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","GO:0035357"
"175","Decreased Ppar-Beta Activation","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","GO:0035357"
"176","Decreased Ppar-Gamma Activation","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","GO:0035357"
"177","Reduction Prostaglandin E2 Concentration","Cyclooxygenase inhibition leading reproductive failure","PROSTAGLANDIN SYNTHESIS AND REGULATION"
"178","Alkylation Protein","Protein Alkylation leading to Liver Fibrosis","GO:0008213"
"179","Activation Pxr/Sxr","Percellome Toxicogenomics Approach for AOP Building: Case study on Pentachlorophenol","GO:0004872"
"180","Increase Rbc Congestion In Liver","Oxidation of iron in hemoglobin leading to hematotoxicity","ABNORMAL LIVER MORPHOLOGY"
"181","Agonism Androgen Receptor","Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish)","GO:0004882"
"182","Damaging Red Blood Cells; Hemolysis","Oxidation of iron in hemoglobin leading to hematotoxicity","ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES"
"183","Increase Renal Pathology Due To Vtg Deposition","Estrogen receptor agonism leading to reproductive dysfunction","ABNORMALITY OF ADRENAL PHYSIOLOGY"
"184","N/A Reproductive Failure","Cyclooxygenase inhibition leading reproductive failure","GO:0044703"
"185","N/A Androgen Receptor Antagonism","Androgen receptor (AR) antagonism leading to short anogenital distance (AGD) in male (mammalian) offspring","GO:0004882"
"186","Activation Srebp-1c","LXR activation leading to hepatic steatosis","STEROL REGULATORY ELEMENTBINDING PROTEINS SREBP SIGNALLIN"
"187","Decrease Steroidogenic Acute Regulatory Protein Star","PPARα activation in utero leading to impaired fertility in males","STEROID HORMONE MEDIATED SIGNALING PATHWAY"
"188","Induction Sustained Cell Proliferation","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","NEGATIVE REGULATION OF FAT CELL PROLIFERATION"
"189","Induction Sustained Hepatotoxicity","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","ABNORMALITY OF THE LIVER"
"190","Activation/Proliferation T-Cells","Covalent Protein binding leading to Skin Sensitisation","GO:0008283"
"191","Reduction Testosterone Synthesis By Ovarian Theca Cells","Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish)","GO:0061370"
"192","Reduction Angiogenesis","Disruption of VEGFR Signaling Leading to Developmental Defects","GO:0001525"
"193","Decreased Thyroxine T4 In Serum","Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"194","Decreased Thyroxine T4 In Serum","Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","ABNORMAL THYROID HORMONE LEVEL"
