"","AOP ID","KE ID","Molecular Pathways"
"54","1005","157","LOCOMOTORY BEHAVIOR"
"55","1005","334","LOCOMOTORY BEHAVIOR"
"56","1005","156","LOCOMOTORY BEHAVIOR"
"57","1005","158","LOCOMOTORY BEHAVIOR"
"58","1005","159","LOCOMOTORY BEHAVIOR"
"59","1007","156","ABNORMALITY OF THE BLADDER"
"60","1007","158","ABNORMALITY OF THE BLADDER"
"61","1007","156","ABNORMALITY OF THE BLADDER"
"62","1007","159","ABNORMALITY OF THE BLADDER"
"63","1007","159","ABNORMALITY OF THE BLADDER"
"64","1007","158","ABNORMALITY OF THE BLADDER"
"65","1008","410","PROGRESSIVE HEARING IMPAIRMENT"
"66","1008","410","PROGRESSIVE HEARING IMPAIRMENT"
"67","1008","410","PROGRESSIVE HEARING IMPAIRMENT"
"68","1008","410","PROGRESSIVE HEARING IMPAIRMENT"
"69","1009","189","GO:0003824"
"70","1009","157","GO:0003824"
"71","1009","157","GO:0003824"
"72","1009","158","GO:0003824"
"73","1009","189","GO:0003824"
"74","1009","158","GO:0003824"
"75","1012","161","GO:0060080"
"76","1012","471","GO:0060080"
"77","1012","160","GO:0060080"
"78","1012","161","GO:0060080"
"79","1012","160","GO:0060080"
"80","1012","471","GO:0060080"
"81","1014","160","PARALYSIS"
"82","1014","471","PARALYSIS"
"83","1014","471","PARALYSIS"
"84","1014","160","PARALYSIS"
"85","1015","161","GO:0050805"
"86","1015","160","GO:0050805"
"87","1015","471","GO:0050805"
"88","1015","471","GO:0050805"
"89","1015","161","GO:0050805"
"90","1015","160","GO:0050805"
"91","1016","568","TUBE FEEDING"
"92","1016","161","TUBE FEEDING"
"93","1016","160","TUBE FEEDING"
"94","1016","471","TUBE FEEDING"
"95","1016","161","TUBE FEEDING"
"96","1016","160","TUBE FEEDING"
"97","1016","568","TUBE FEEDING"
"98","1016","471","TUBE FEEDING"
"99","1018","471","GO:0005254"
"100","1018","161","GO:0005254"
"101","1018","471","GO:0005254"
"102","1018","161","GO:0005254"
"103","1019","161","PARALYSIS"
"104","1019","161","PARALYSIS"
"105","1020",NA,"ABNORMALITY OF THE LIVER"
"106","1021",NA,"GO:0042447"
"107","1022",NA,"DECREASED LEVEL OF GABA IN SERUM"
"108","1023","190","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"109","1023","110","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"110","1023","162","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"111","1023","119","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"112","1023","190","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"113","1023","110","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"114","1023","119","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"115","1023","162","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"116","1024",NA,"GO:0008283"
"117","1026",NA,"APOPTOSIS"
"118","1028","72","GO:0035357"
"119","1028","72","GO:0035357"
"120","1028","163","GO:0035357"
"121","1028","163","GO:0035357"
"122","1032","171","GO:0046903"
"123","1032","171","GO:0046903"
"124","1032","163","GO:0046903"
"125","1032","163","GO:0046903"
"126","1033","163","GO:0010463"
"127","1033","163","GO:0010463"
"128","1034","163","CTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R"
"129","1038","164","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"130","1038","554","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"131","1038","554","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"132","1038","164","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"133","1039","164","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"134","1039","557","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"135","1039","164","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"136","1039","557","ADRENERGIC RECEPTOR SIGNALING PATHWAY"
"137","1040","164","GO:0044557"
"138","1040","164","GO:0044557"
"139","1042","164","GO:0008283"
"140","1042","164","GO:0008283"
"141","1043","164","SMOOTH MUSCLE CELL PROLIFERATION"
"142","1043","164","SMOOTH MUSCLE CELL PROLIFERATION"
"143","1045","165","ABNORMAL OVARIAN MORPHOLOGY"
"144","1045","165","ABNORMAL OVARIAN MORPHOLOGY"
"145","1046","165","GO:0030284"
"146","1046","440","GO:0030284"
"147","1046","440","GO:0030284"
"148","1046","165","GO:0030284"
"149","1047","165","GO:0046879"
"150","1047","165","GO:0046879"
"151","1047","440","GO:0046879"
"152","1047","440","GO:0046879"
"153","1049","165","GO:0046884"
"154","1049","165","GO:0046884"
"155","1050","440","ANTERIOR PITUITARY AGENESIS"
"156","1050","165","ANTERIOR PITUITARY AGENESIS"
"157","1050","440","ANTERIOR PITUITARY AGENESIS"
"158","1050","165","ANTERIOR PITUITARY AGENESIS"
"159","1051","165","ADRENAL HYPERPLASIA"
"160","1051","165","ADRENAL HYPERPLASIA"
"161","1053","440","ABNORMAL OVARIAN MORPHOLOGY"
"162","1053","165","ABNORMAL OVARIAN MORPHOLOGY"
"163","1053","165","ABNORMAL OVARIAN MORPHOLOGY"
"164","1053","440","ABNORMAL OVARIAN MORPHOLOGY"
"165","1054","165","ABNORMAL OVARIAN MORPHOLOGY"
"166","1054","165","ABNORMAL OVARIAN MORPHOLOGY"
"167","1056","165","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"168","1056","165","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"169","1057","166","GO:0035357"
"170","1057","166","GO:0035357"
"171","1058","166","DRUG INDUCTION OF BILE ACID PATHWAY"
"172","1058","166","DRUG INDUCTION OF BILE ACID PATHWAY"
"173","1059","166","CHOLESTASIS"
"174","1059","166","CHOLESTASIS"
"175","1060","166","GO:0006629"
"176","1060","513","GO:0006629"
"177","1060","166","GO:0006629"
"178","1060","513","GO:0006629"
"179","1062","166","GO:0008283"
"180","1062","166","GO:0008283"
"181","1063","166","PANCREATIC HYPOPLASIA"
"182","1063","166","PANCREATIC HYPOPLASIA"
"183","1064",NA,"GO:0030284"
"184","1065","445","GO:0030520"
"185","1065","167","GO:0030520"
"186","1065","561","GO:0030520"
"187","1065","445","GO:0030520"
"188","1065","503","GO:0030520"
"189","1065","167","GO:0030520"
"190","1065","565","GO:0030520"
"191","1065","561","GO:0030520"
"192","1065","504","GO:0030520"
"193","1065","504","GO:0030520"
"194","1065","565","GO:0030520"
"195","1065","503","GO:0030520"
"196","1067","167","GO:0008283"
"197","1067","167","GO:0008283"
"198","1068","167","SQUAMOUS CELL CARCINOMA"
"199","1068","167","SQUAMOUS CELL CARCINOMA"
"200","1069","167","ABNORMALITY OF THE ENDOMETRIUM"
"201","1069","167","ABNORMALITY OF THE ENDOMETRIUM"
"202","1070","167","ABNORMALITY OF THE ENDOMETRIUM"
"203","1070","167","ABNORMALITY OF THE ENDOMETRIUM"
"204","1071","169","GO:0046879"
"205","1071","168","GO:0046879"
"206","1071","169","GO:0046879"
"207","1071","168","GO:0046879"
"208","1071","169","GO:0046879"
"209","1071","168","GO:0046879"
"210","1071","169","GO:0046879"
"211","1071","168","GO:0046879"
"212","1072","169","GO:0046879"
"213","1072","169","GO:0046879"
"214","1072","168","GO:0046879"
"215","1072","168","GO:0046879"
"216","1072","169","GO:0046879"
"217","1072","169","GO:0046879"
"218","1072","168","GO:0046879"
"219","1072","168","GO:0046879"
"220","1074","168","OVULATION"
"221","1074","169","OVULATION"
"222","1074","169","OVULATION"
"223","1074","168","OVULATION"
"224","1075","169","PROLONGED NEONATAL JAUNDICE"
"225","1075","168","PROLONGED NEONATAL JAUNDICE"
"226","1075","168","PROLONGED NEONATAL JAUNDICE"
"227","1075","169","PROLONGED NEONATAL JAUNDICE"
"228","1076","169","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"229","1076","440","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"230","1076","561","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"231","1076","561","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"232","1076","168","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"233","1076","169","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"234","1076","168","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"235","1076","440","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"236","1077","168","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"237","1077","168","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"238","1081","169","ADRENAL HYPERPLASIA"
"239","1081","169","ADRENAL HYPERPLASIA"
"240","1081","169","ADRENAL HYPERPLASIA"
"241","1081","169","ADRENAL HYPERPLASIA"
"242","1082","169","ABNORMALITY OF THE PITUITARY GLAND"
"243","1082","169","ABNORMALITY OF THE PITUITARY GLAND"
"244","1083","170","GO:0001963"
"245","1083","170","GO:0001963"
"246","1084","170","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"247","1084","170","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"248","1086","171","ABNORMAL PLEURA MORPHOLOGY"
"249","1086","171","ABNORMAL PLEURA MORPHOLOGY"
"250","1087","171","GO:0006954"
"251","1087","171","GO:0006954"
"252","1089","171","GO:0008283"
"253","1089","171","GO:0008283"
"254","1093",NA,"ABNORMAL THYROID HORMONE LEVEL"
"255","1096","177","INCREASED LEVEL OF HIPPURIC ACID IN URINE"
"256","1096","138","INCREASED LEVEL OF HIPPURIC ACID IN URINE"
"257","1096","138","INCREASED LEVEL OF HIPPURIC ACID IN URINE"
"258","1096","177","INCREASED LEVEL OF HIPPURIC ACID IN URINE"
"259","1097","447","RENAL TUBULAR DYSFUNCTION"
"260","1097","186","RENAL TUBULAR DYSFUNCTION"
"261","1097","447","RENAL TUBULAR DYSFUNCTION"
"262","1097","177","RENAL TUBULAR DYSFUNCTION"
"263","1097","138","RENAL TUBULAR DYSFUNCTION"
"264","1097","138","RENAL TUBULAR DYSFUNCTION"
"265","1097","186","RENAL TUBULAR DYSFUNCTION"
"266","1097","177","RENAL TUBULAR DYSFUNCTION"
"267","1098","177","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"268","1098","138","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"269","1098","138","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"270","1098","186","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"271","1098","551","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"272","1098","177","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"273","1098","186","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"274","1098","551","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"275","110","43","GO:0003158"
"276","110","43","GO:0003158"
"277","110","150","GO:0003158"
"278","110","150","GO:0003158"
"279","1103","177","GO:0004666"
"280","1103","177","GO:0004666"
"281","1104","177","DECREASED PLASMA CARNITINE"
"282","1104","177","DECREASED PLASMA CARNITINE"
"283","1105","177","TISSUE ISCHEMIA"
"284","1105","177","TISSUE ISCHEMIA"
"285","1106","559","VENTRICULAR ARRHYTHMIA"
"286","1106","551","VENTRICULAR ARRHYTHMIA"
"287","1106","138","VENTRICULAR ARRHYTHMIA"
"288","1106","138","VENTRICULAR ARRHYTHMIA"
"289","1106","562","VENTRICULAR ARRHYTHMIA"
"290","1106","186","VENTRICULAR ARRHYTHMIA"
"291","1106","551","VENTRICULAR ARRHYTHMIA"
"292","1106","560","VENTRICULAR ARRHYTHMIA"
"293","1106","562","VENTRICULAR ARRHYTHMIA"
"294","1106","554","VENTRICULAR ARRHYTHMIA"
"295","1106","554","VENTRICULAR ARRHYTHMIA"
"296","1106","560","VENTRICULAR ARRHYTHMIA"
"297","1106","186","VENTRICULAR ARRHYTHMIA"
"298","1106","559","VENTRICULAR ARRHYTHMIA"
"299","1106","177","VENTRICULAR ARRHYTHMIA"
"300","1106","177","VENTRICULAR ARRHYTHMIA"
"301","1109","179","ABNORMALITY OF THE WING OF THE ILIUM"
"302","1109","179","ABNORMALITY OF THE WING OF THE ILIUM"
"303","111","29","GO:0030284"
"304","111","29","GO:0030284"
"305","111","52","GO:0030284"
"306","111","53","GO:0030284"
"307","111","536","GO:0030284"
"308","111","537","GO:0030284"
"309","111","536","GO:0030284"
"310","111","200","GO:0030284"
"311","111","112","GO:0030284"
"312","111","53","GO:0030284"
"313","111","52","GO:0030284"
"314","111","200","GO:0030284"
"315","111","537","GO:0030284"
"316","111","112","GO:0030284"
"317","1110","183","OXIDATIVE STRESS"
"318","1110","183","OXIDATIVE STRESS"
"319","1110","183","OXIDATIVE STRESS"
"320","1110","183","OXIDATIVE STRESS"
"321","1116","189","ABNORMAL THYROID HORMONE LEVEL"
"322","1116","189","ABNORMAL THYROID HORMONE LEVEL"
"323","1116","190","ABNORMAL THYROID HORMONE LEVEL"
"324","1116","190","ABNORMAL THYROID HORMONE LEVEL"
"325","1116","189","ABNORMAL THYROID HORMONE LEVEL"
"326","1116","189","ABNORMAL THYROID HORMONE LEVEL"
"327","1116","190","ABNORMAL THYROID HORMONE LEVEL"
"328","1116","190","ABNORMAL THYROID HORMONE LEVEL"
"329","112","30","GO:0030284"
"330","112","522","GO:0030284"
"331","112","443","GO:0030284"
"332","112","443","GO:0030284"
"333","112","30","GO:0030284"
"334","112","522","GO:0030284"
"335","1130","187","GO:0042060"
"336","1130","187","GO:0042060"
"337","1130","187","GO:0042060"
"338","1130","187","GO:0042060"
"339","1133","187","BLOOD CLOTTING CASCADE"
"340","1133","187","BLOOD CLOTTING CASCADE"
"341","1133","187","BLOOD CLOTTING CASCADE"
"342","1133","187","BLOOD CLOTTING CASCADE"
"343","1135","187","MORTALITY AGING"
"344","1135","187","MORTALITY AGING"
"345","1135","187","MORTALITY AGING"
"346","1135","187","MORTALITY AGING"
"347","1135","187","MORTALITY AGING"
"348","1135","187","MORTALITY AGING"
"349","1135","187","MORTALITY AGING"
"350","1135","187","MORTALITY AGING"
"351","1135","187","MORTALITY AGING"
"352","1135","187","MORTALITY AGING"
"353","115","517","GO:2000193"
"354","115","34","GO:2000193"
"355","115","517","GO:2000193"
"356","115","34","GO:2000193"
"357","1151","187","VASCULAR CALCIFICATION"
"358","1151","187","VASCULAR CALCIFICATION"
"359","1151","187","VASCULAR CALCIFICATION"
"360","1151","187","VASCULAR CALCIFICATION"
"361","1152","188","GO:0003824"
"362","1152","188","GO:0003824"
"363","1153","191","GO:0003824"
"364","1153","191","GO:0003824"
"365","1154","191","ABNORMAL THYROID HORMONE LEVEL"
"366","1154","191","ABNORMAL THYROID HORMONE LEVEL"
"367","1156","193","GO:0003824"
"368","1156","193","GO:0003824"
"369","1157","194","NUCLEAR RECEPTORS"
"370","1157","194","NUCLEAR RECEPTORS"
"371","1158","367","ABNORMAL THYROID HORMONE LEVEL"
"372","1158","367","ABNORMAL THYROID HORMONE LEVEL"
"373","1158","393","ABNORMAL THYROID HORMONE LEVEL"
"374","1158","393","ABNORMAL THYROID HORMONE LEVEL"
"375","1158","194","ABNORMAL THYROID HORMONE LEVEL"
"376","1158","366","ABNORMAL THYROID HORMONE LEVEL"
"377","1158","366","ABNORMAL THYROID HORMONE LEVEL"
"378","1158","194","ABNORMAL THYROID HORMONE LEVEL"
"379","116","34","FAS LIGAND FASL PATHWAY AND STRESS INDUCTION OF HEAT SHOCK PROTEINS HSP REGULATION"
"380","116","34","FAS LIGAND FASL PATHWAY AND STRESS INDUCTION OF HEAT SHOCK PROTEINS HSP REGULATION"
"381","1161","195","GO:0048469"
"382","1161","195","GO:0048469"
"383","1163","195","GO:0022414"
"384","1163","204","GO:0022414"
"385","1163","204","GO:0022414"
"386","1163","195","GO:0022414"
"387","1174","207","CTOME RHO GTPASES ACTIVATE NADPH OXIDASES"
"388","1174","207","CTOME RHO GTPASES ACTIVATE NADPH OXIDASES"
"389","1176","197","ABNORMAL BLOOD SODIUM CONCENTRATION"
"390","1176","197","ABNORMAL BLOOD SODIUM CONCENTRATION"
"391","1179","197","DECREASED LEVEL OF GABA IN SERUM"
"392","1179","197","DECREASED LEVEL OF GABA IN SERUM"
"393","118","31","GO:0042541"
"394","118","31","GO:0042541"
"395","118","31","GO:0042541"
"396","118","31","GO:0042541"
"397","1181",NA,"ESTROGEN RECEPTOR PATHWAY"
"398","1182","293","GO:0008283"
"399","1182","200","GO:0008283"
"400","1182","294","GO:0008283"
"401","1182","200","GO:0008283"
"402","1182","293","GO:0008283"
"403","1182","294","GO:0008283"
"404","1183","495","GO:0006915"
"405","1183","495","GO:0006915"
"406","1183","200","GO:0006915"
"407","1183","200","GO:0006915"
"408","1187","200","GO:0030331"
"409","1187","200","GO:0030331"
"410","1188","200","GO:0030331"
"411","1188","200","GO:0030331"
"412","1189","200","GO:0001935"
"413","1189","200","GO:0001935"
"414","119","28","SANDAL GAP"
"415","119","28","SANDAL GAP"
"416","1190","439","GO:0043542"
"417","1190","439","GO:0043542"
"418","1190","200","GO:0043542"
"419","1190","200","GO:0043542"
"420","1191","200","INCREASED HEMOGLOBIN"
"421","1191","200","INCREASED HEMOGLOBIN"
"422","1193","200","BREAST CANCER PATHWAY"
"423","1193","200","BREAST CANCER PATHWAY"
"424","1193","294","BREAST CANCER PATHWAY"
"425","1193","293","BREAST CANCER PATHWAY"
"426","1193","294","BREAST CANCER PATHWAY"
"427","1193","293","BREAST CANCER PATHWAY"
"428","1196","200","CELL MIGRATION AND INVASION THROUGH P75NTR"
"429","1196","495","CELL MIGRATION AND INVASION THROUGH P75NTR"
"430","1196","495","CELL MIGRATION AND INVASION THROUGH P75NTR"
"431","1196","439","CELL MIGRATION AND INVASION THROUGH P75NTR"
"432","1196","200","CELL MIGRATION AND INVASION THROUGH P75NTR"
"433","1196","439","CELL MIGRATION AND INVASION THROUGH P75NTR"
"434","12","312","INHIBITION ACETYLCHOLINESTERASE ACHE"
"435","12","450","INHIBITION ACETYLCHOLINESTERASE ACHE"
"436","12","471","INHIBITION ACETYLCHOLINESTERASE ACHE"
"437","12","281","INHIBITION ACETYLCHOLINESTERASE ACHE"
"438","12","405","INHIBITION ACETYLCHOLINESTERASE ACHE"
"439","12","471","INHIBITION ACETYLCHOLINESTERASE ACHE"
"440","12","281","INHIBITION ACETYLCHOLINESTERASE ACHE"
"441","12","405","INHIBITION ACETYLCHOLINESTERASE ACHE"
"442","12","16","INHIBITION ACETYLCHOLINESTERASE ACHE"
"443","12","559","INHIBITION ACETYLCHOLINESTERASE ACHE"
"444","12","559","INHIBITION ACETYLCHOLINESTERASE ACHE"
"445","12","450","INHIBITION ACETYLCHOLINESTERASE ACHE"
"446","12","16","INHIBITION ACETYLCHOLINESTERASE ACHE"
"447","12","312","INHIBITION ACETYLCHOLINESTERASE ACHE"
"448","1202","154","GO:0032623"
"449","1202","154","GO:0032623"
"450","1202","154","GO:0032623"
"451","1202","154","GO:0032623"
"452","1209","201","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"453","1209","201","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"454","1213","200","GO:0001525"
"455","1213","200","GO:0001525"
"456","1218","196","GO:0006816"
"457","1218","196","GO:0006816"
"458","122","581","GLUCOCORTICOID RECEPTOR PATHWAY"
"459","122","14","GLUCOCORTICOID RECEPTOR PATHWAY"
"460","122","334","GLUCOCORTICOID RECEPTOR PATHWAY"
"461","122","214","GLUCOCORTICOID RECEPTOR PATHWAY"
"462","122","318","GLUCOCORTICOID RECEPTOR PATHWAY"
"463","122","581","GLUCOCORTICOID RECEPTOR PATHWAY"
"464","122","318","GLUCOCORTICOID RECEPTOR PATHWAY"
"465","122","334","GLUCOCORTICOID RECEPTOR PATHWAY"
"466","122","214","GLUCOCORTICOID RECEPTOR PATHWAY"
"467","122","14","GLUCOCORTICOID RECEPTOR PATHWAY"
"468","1222","196","GO:0005184"
"469","1222","196","GO:0005184"
"470","1224",NA,"GO:0001816"
"471","1226","196","GO:0006954"
"472","1226","196","GO:0006954"
"473","1226","196","GO:0006954"
"474","1226","196","GO:0006954"
"475","1234",NA,"GO:0001816"
"476","1235",NA,"GO:0001816"
"477","1236",NA,"GO:0019882"
"478","1237",NA,"GO:0006955"
"479","1238",NA,"OXIDATIVE STRESS"
"480","1239","533","POSITIVE REGULATION OF GENE EXPRESSION"
"481","1239","275","POSITIVE REGULATION OF GENE EXPRESSION"
"482","1239","200","POSITIVE REGULATION OF GENE EXPRESSION"
"483","1240","200","GO:0006412"
"484","1240","200","GO:0006412"
"485","1241","439","GO:0048870"
"486","1241","439","GO:0048870"
"487","1241","200","GO:0048870"
"488","1241","200","GO:0048870"
"489","1242","200","GO:0019932"
"490","1242","200","GO:0019932"
"491","1259","205","GO:0007009"
"492","1259","205","GO:0007009"
"493","1260","205","CTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA"
"494","1260","205","CTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA"
"495","1267","4","GO:0019226"
"496","1267","4","GO:0019226"
"497","1268","4","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"498","1268","4","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"499","1272",NA,"GO:0030154"
"500","1273",NA,"GO:0032964"
"501","1276",NA,"LUNG FIBROSIS"
"502","1277","207","GO:0000003"
"503","1277","210","GO:0000003"
"504","1277","208","GO:0000003"
"505","1277","207","GO:0000003"
"506","1277","210","GO:0000003"
"507","1277","208","GO:0000003"
"508","1278",NA,"GO:0009058"
"509","1278",NA,"GO:1903409"
"510","1279","207","OXIDATIVE STRESS"
"511","1279","207","OXIDATIVE STRESS"
"512","1279","207","OXIDATIVE STRESS"
"513","1279","207","OXIDATIVE STRESS"
"514","1279","207","OXIDATIVE DAMAGE"
"515","1279","207","OXIDATIVE DAMAGE"
"516","1279","207","OXIDATIVE DAMAGE"
"517","1279","207","OXIDATIVE DAMAGE"
"518","1279","207","OXIDATIVE STRESS"
"519","1279","207","OXIDATIVE STRESS"
"520","1279","207","OXIDATIVE STRESS"
"521","1279","207","OXIDATIVE STRESS"
"522","1279","207","OXIDATIVE STRESS"
"523","1279","207","OXIDATIVE STRESS"
"524","1279","207","OXIDATIVE STRESS"
"525","1279","207","OXIDATIVE STRESS"
"526","1280","207","HIF1A AND PPARG REGULATION OF GLYCOLYSIS"
"527","1280","207","HIF1A AND PPARG REGULATION OF GLYCOLYSIS"
"528","1281","207","DNA DAMAGE RESPONSE"
"529","1281","207","DNA DAMAGE RESPONSE"
"530","1281","207","GO:0006281"
"531","1281","207","GO:0006281"
"532","1282","208","G JAK STAT SIGNALING PATHWAY"
"533","1282","208","G JAK STAT SIGNALING PATHWAY"
"534","1282","208","G JAK STAT SIGNALING PATHWAY"
"535","1282","208","G JAK STAT SIGNALING PATHWAY"
"536","1283","208","G TGF BETA SIGNALING PATHWAY"
"537","1283","208","G TGF BETA SIGNALING PATHWAY"
"538","1283","347","G TGF BETA SIGNALING PATHWAY"
"539","1283","347","G TGF BETA SIGNALING PATHWAY"
"540","1284","401","CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP"
"541","1284","209","CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP"
"542","1285","209","GO:0006636"
"543","1285","209","GO:0006636"
"544","1286","209","GO:0004364"
"545","1286","209","GO:0004364"
"546","1286","209","GO:0004364"
"547","1286","209","GO:0004364"
"548","1287","209","GLUTATHIONE METABOLIC PROCESS"
"549","1287","209","GLUTATHIONE METABOLIC PROCESS"
"550","1288","209","GO:0003857"
"551","1288","209","GO:0003857"
"552","1289","209","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"553","1289","209","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"554","129","23","ABNORMAL CIRCULATING RENIN"
"555","129","23","ABNORMAL CIRCULATING RENIN"
"556","129","23","ABNORMAL CIRCULATING RENIN"
"557","129","23","ABNORMAL CIRCULATING RENIN"
"558","1290","209","GLUTATHIONE METABOLIC PROCESS"
"559","1290","209","GLUTATHIONE METABOLIC PROCESS"
"560","1292","347","JNK CASCADE"
"561","1292","210","JNK CASCADE"
"562","1292","347","JNK CASCADE"
"563","1292","210","JNK CASCADE"
"564","1293","210","CTOME FOXO MEDIATED TRANSCRIPTION"
"565","1293","210","CTOME FOXO MEDIATED TRANSCRIPTION"
"566","1294","210","REGULATION OF WNT SIGNALING PATHWAY"
"567","1294","210","REGULATION OF WNT SIGNALING PATHWAY"
"568","1295","210","GO:0009790"
"569","1295","210","GO:0009790"
"570","130","492","G GLUTATHIONE METABOLISM"
