"","17#-1","21#-1","25#-1","25#-2","25#-3","25#-4","27#-1","3#-1","34#-1","38#-1","4#-1","40#-1","41#-1","47#-1","60#-1","60#-2","60#-3","60#-4","7#-1","70#-1","BPA-1","BPA-2","BPA-3","BPA-4","BPAF-1","BPE-1","BPS-1","NP1-1","NP10-1","NP5-1","NP9-1","P8-1","P8-2","P8-3","P8-4","TCDD-1","TCDD-2","TCDD-3","TCDD-4"
"GO:0003158",6,-0.136970571063299,0.136847624671578,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.620449359344958,0.308738532183915,0.42694789415815,6,6,-0.549415560983607,0.506062920365773,-2.43583277873608,6,6,1.1414142489077,0.499638366509475,0.359599082983156,1.40578117971757,6,1.87911506108775,6,6,-4.2049889847506,6,6,6
"GO:0003707",6,0.47255697786246,0.584325384349656,-2.30247932763415,6,0.458537629410574,6,0.431907897208462,-0.551172490066458,6,0.306079352001034,-0.544425429005289,6,6,-1.06752643919864,6,-0.859775649961073,-0.0803283330550553,6,6,-0.730902107735296,6,-0.108541845414178,0.569371992140897,-2.37226903592003,6,-1.49790787746528,1.02775673674038,6,6,6,1.88477177245664,2.04741310967729,1.5691477556093,0.399889692663014,-3.77559233278978,-4.2579599186485,-4.26892375958408,6
"GO:0003714",6,0.76936459023459,0.47267509948657,-2.48180758066377,6,6,6,6,-0.546145192893826,6,6,6,-1.46561834819052,6,6,6,-0.43921365590185,-0.449576814557232,-1.99646042580667,6,6,0.513789874182375,-0.0804003168099457,0.112763145087797,6,6,6,6,-0.0798769643426935,0.202722175166489,0.167720170663933,6,6,1.04174269233487,0.014855278480717,6,6,-4.277368460815,6
"GO:0003824",6,0.52702816513606,-0.264746342970224,-2.65256515381426,-0.107860429684021,6,6,6,-0.0943745805995833,0.264604870344775,6,-1.6570202332684,0.327519930958475,1.2025807460531,6,-4.06415899100107,-0.323706758658955,-1.37798950640177,1.63154585000502,-0.144310280077417,0.418760678365952,-0.898987041895102,-0.162857607888183,6,-2.75891621452712,-0.213191161092596,-0.360561622717586,1.06289955630346,-0.127691276804802,0.190416173978985,6,-0.157555350309779,1.82635262730153,1.60716976019027,0.52769872472581,-3.69618372204752,-3.80356928498201,-4.25405303248471,6
"GO:0003857",6,6,6,6,6,6,6,6,6,6,6,-0.281917090088712,6,6,6,6,6,6,6,6,6,-1.19597133740947,6,6,6,6,6,6,6,6,6,6,6,6,6,-3.79763964802728,6,6,6
"GO:0004364",6,6,-0.0807505543927423,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.572230770344116,6,-0.81682935773075,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-4.30080995209636,6,6
"GO:0004620",6,0.540874861891185,6,6,6,6,6,6,-0.915920192698461,6,6,6,6,6,6,6,6,-1.12997728692116,6,6,6,6,6,6,-2.18758524260647,6,6,6,6,6,6,6,2.05755785159453,6,1.14228585453756,6,6,6,-3.57153080179475
"GO:0004666",6,6,6,6,6,0.213185807000254,6,6,6,6,6,6,6,6,6,6,6,-0.198990935734822,6,-0.189626579783316,6,6,6,6,6,6,6,6,6,6,6,6,6,2.12842065956744,6,6,6,6,6
"GO:0004738",6,6,6,0.99233548567487,6,6,6,6,-0.30819287809307,6,6,6,6,6,6,-3.03400949677539,6,0.208238258550892,-1.8600822001006,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"GO:0004872",-0.560111203160523,0.603388570261751,0.39248960552376,-0.967790520403355,0.414672718454008,-0.0142358702934044,-0.327022728394563,0.447133237901131,-1.17608521925372,0.142470336835076,0.65427499010609,0.0516657915131939,-0.932267193658244,0.916810763700132,-0.536847312444343,-0.425780435489146,-0.560794667308415,-0.126779762980777,-2.1182493173835,-0.266779144533536,-1.02212839173059,-1.32182816858375,-0.176697107990435,0.0799053059201792,-2.70572591873262,-0.173227209582194,-1.36602619705831,1.0082398367328,0.489026046724509,-0.140117340960954,1.3097571344565,1.34412638228643,1.96805526468868,1.76403663099509,1.14729967863857,-3.74666352351438,-3.96297330438388,-4.45874324176916,-3.68120980529769
"GO:0004882",-2.04042633407493,0.933826677159466,0.178522698096533,-1.42220080259426,6,-0.46670242427013,6,6,-1.49763680837126,6,0.724612474984058,6,-0.172106225477872,1.57598696091417,6,-1.1923322873029,-0.641345589273072,0.365031954443441,-1.63309060915954,6,6,-0.857559244866029,-0.542805286158866,-1.24172882765734,-2.85003896276152,6,-0.708972141875659,0.989383626993011,0.0264512115785257,6,1.78698708560444,6,1.77625499695954,1.43852329414834,0.792643400678926,-3.62528437826793,-3.91703131972718,-5.30848305482849,-3.73180525861843
"GO:0004970",6,6,0.454940573239943,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.136499069857174,6,6,6,6,-0.338605830766731,0.50707321662247,6,6,6,6,6,6,6,6,1.7639499733639,1.75168786876412,-0.179692694797553,6,6,6,6
"GO:0005102",-1.14541419752349,0.593466465371406,-0.398638299094023,-1.26104953200636,-0.680162959027028,-0.396868271596936,-0.503502547222174,0.378288960103355,-0.582216041758607,0.217257148922329,0.473142375431168,-0.548237500457999,0.949779175282101,1.02502067765742,0.015358702394556,-2.21008765734839,-0.454406828984424,-0.0586749303472215,-1.05775165459646,0.0821209178645441,-1.59429629024445,-0.675082952920139,-0.437818500369888,0.259269526613672,-2.22564273655769,-0.487297869391736,-0.715095249710109,1.26886611983314,0.187715810511341,0.401592807962881,1.10510756477918,1.2131908859038,1.83100707695291,1.53035225049758,1.03975337484551,-4.07820618731025,-3.82091001480632,-4.82182491233808,-3.87941539608076
"GO:0005125",6,0.500916994277814,0.241724232741975,-0.732966776851972,6,6,6,6,-0.620276273122073,6,6,6,-0.401284729205786,6,6,6,6,0.341613984801116,6,6,6,6,-0.0945536661808771,6,6,6,6,6,6,6,6,6,6,1.0791418166829,1.19016803416913,-3.19803040267827,6,-4.76419420821789,6
"GO:0005184",6,6,0.0599525518271464,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"GO:0005216",-1.33184637441703,6,0.25230900018889,6,0.440316329689447,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.659168668736127,6,-0.184446921153133,0.333630870355959,6,6,6,6,-0.195214155554837,6,6,6,1.90682023759733,1.28325708748167,0.484484744309529,6,-4.72023384760378,-3.58870183437555,6
"GO:0005254",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.702357473459574,6,6,6,6,6,6,6,6,6,1.32624647352174,6,6,6,-4.48929796443296,6,6
"GO:0005488",-0.772354842143201,0.876112284642881,0.440854356331701,-1.81647197711935,-1.69085521684185,0.195576621188757,-0.637178040696871,-0.233054921923326,-0.884663364958417,-0.388820174030228,0.520618703882138,1.04334226344099,-0.631954883332683,1.15158733761799,-0.975683142814292,-2.81652184120258,-0.278175058146284,0.159006682553186,-1.14902083232119,-0.426925311329299,-1.06862699539451,-0.389218457770499,0.0652607542811182,0.883042693006255,-2.66416422375435,-0.492370006591394,-0.211866871207414,0.997028194064033,0.0148345538970542,0.474337647127918,1.32140257912191,0.683128991238936,2.10029643632251,1.60229484024521,0.670955334001307,-3.76209704131247,-4.03651858655517,-4.6039203809296,-3.73193276948987
"GO:0005515",6,0.511517668310399,0.333923055618732,-3.07150157424788,0.247907271614009,0.125867663801947,6,6,-0.297281474132237,0.112879612493371,0.518438855098316,-0.171139975987489,-0.738804352742198,1.57116773387871,-1.7740947211843,-2.03228185306808,-0.404215882295154,-0.323353593094609,-1.36291092494461,-0.288971516642839,6,-0.0581973727723491,0.150776691522083,0.072261917447959,-3.3757901853949,6,0.652388218862641,1.06215620349239,-0.169588434759685,0.441006835381392,1.52449360807082,6,1.78540444595114,-0.599268622607764,0.805224153082623,-3.48565794163797,-4.20472132075352,-4.61942267527305,-3.84212348128862
"GO:0006120",0.290883603813438,0.642833260323506,0.207341096028939,6,6,6,6,6,-0.93873921807732,6,0.7600329405502,6,6,6,6,-4.67291717506624,6,-0.176353238231153,-1.79177111199645,6,6,-0.587621403585485,-0.0712141168532746,6,6,6,6,0.729477354171609,6,6,6,6,1.9240617040572,6,6,-3.88357220019035,6,6,6
"GO:0006281",-0.9179159830173,0.596326994858887,0.635896343544893,-2.69069742503379,0.597915461596191,0.0331133401120059,6,-3.42157447789012,-0.36213717977404,1.15752206346883,0.582836797588309,-0.798726966240795,-0.26367437929476,1.35860262905948,6,-3.26603787242207,-0.86810987389086,-0.291345981734017,-1.86419033597996,0.152303969955625,-1.79381104396716,-0.36375762120311,-0.822894386405124,0.777747051142649,-2.80387985001221,6,0.123531401970897,1.27702573227961,0.148074467740098,0.300825248696459,1.13180313016054,1.78567704747837,1.93965876418691,1.79641844018675,1.12504959408503,-3.96136155165228,-4.22396629359429,-5.31565221356575,-4.08976389306388
"GO:0006305",6,0.575301402149882,6,6,6,6,6,6,6,6,6,6,6,6,-1.82291252684449,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"GO:0006412",-2.81101319429903,0.880214387533454,0.662375288970026,-0.766971280997572,0.623736707686775,0.752651944924962,6,6,-0.995471542345351,-1.63409074900932,1.04565261238224,-1.44602977118125,6,0.157627733752238,6,-3.79319205222254,6,0.110466306268036,-0.701957340781519,6,6,-0.840465407805625,0.188009676862701,0.660471452239734,-3.41724910240753,-0.262533896385161,-0.726861034006731,0.644927772078976,-0.274670276799024,0.732767183153455,6,0.0520009166299775,1.62444664265681,1.36648524237926,-0.294343961996581,-4.13214988553573,6,-4.98660895016658,6
"GO:0006629",-0.780327296454935,0.389034320147809,0.742560657723241,-1.06401037797924,0.372133836618331,0.417405582611524,0.124999144018098,-0.291317728009484,0.18994170377176,-0.722840233613072,0.766237591105894,-1.74926154395557,-0.591261855521751,1.70264408533914,-0.654316466861324,-2.2887582688321,-0.490090192921333,-0.78638584803574,-1.48101018579418,-0.027563040493519,-1.62990045409488,-1.19261098107053,-0.0384175263705239,-0.583851487703052,-3.51401117114128,-1.23209626714256,-0.352119162664623,1.0531716239863,-0.519008348740886,0.333678859338525,1.17439324847643,1.39299479272735,1.49490062724859,1.66157237556452,1.19139528172019,-4.25022456407215,-4.80460011290271,-4.44184636142446,-3.90393186697993
"GO:0006633",6,0.606676002770435,0.363331015170507,6,0.678611269998196,0.306969031334054,6,6,-0.723428382933221,6,6,-1.89246746560008,6,1.56033716099106,6,-3.35343854492829,-0.575572857765604,0.214391384195264,-1.18428297317857,0.381483150428534,-0.640433624145709,-0.633219569030614,0.124523242205143,6,-2.55061738136797,6,6,1.36495987113946,-0.102872103278126,6,0.759884803489355,6,6,6,0.881356363554832,-3.77864125448143,-3.5072424715494,-4.77239276601543,-3.67803939024551
"GO:0006635",6,0.881066962193153,0.0871754767476231,-2.92623667647668,6,0.00968774145459719,6,6,-0.854216084111022,6,6,0.157293976424875,6,6,6,6,6,0.203649683984032,6,6,6,-0.571798724304632,0.111941574032692,6,6,-0.194581838525008,6,0.857455014656666,0.0386937784333041,6,1.57560314232935,6,6,1.60544616791197,1.62130763205889,6,6,6,6
"GO:0006636",6,0.756517899838189,0.877291717995349,6,6,0.266067039893472,6,6,6,6,6,-0.446389513252752,6,6,6,6,-0.172159570446297,-0.940091831741489,-0.494313874822886,6,6,-0.706411381059258,6,6,6,6,6,1.46058251641644,-0.747918755789683,6,1.90315442352411,-1.69323063670273,6,6,0.694974006618137,6,-3.77134846434103,-4.08585390434979,6
"GO:0006703",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.05067811490791,6,6,6,6,6,6
"GO:0006809",6,6,-0.210816318465872,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.363486165100507,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"GO:0006816",6,6,6,6,-0.339484390676608,0.592897637275642,6,6,6,6,6,6,6,0.55619059874128,6,6,-0.688258765790755,-0.315558594643203,-1.1712672031057,6,6,-1.06368897893282,-0.378820255449129,6,6,6,6,6,-0.184291954586094,6,6,6,6,6,6,6,6,6,6
"GO:0006839",-0.134258395995465,0.638516940640252,0.0940226459676308,-0.827835026235097,0.876216133089927,0.641860222272591,-0.524567694111683,6,-0.645613721706955,6,0.712431473141518,-1.77634144434089,-3.13171739879267,-0.338772572548021,6,-1.2317007731409,-1.16983202763387,-0.168513318861425,-0.645412039996171,6,6,0.349062855488318,0.0176966175189939,-0.350329354494235,6,6,0.52437245844264,1.05838985090894,0.254286558106918,-0.910650831127159,1.56247195922898,1.94166308052491,1.55478743878082,0.597536497707033,1.50478399990981,-4.0960845263745,-3.43045269997648,6,-3.50206587064033
"GO:0006898",0.427733286681601,0.72864800033364,0.022232707299204,6,6,0.262584131425862,6,6,6,6,6,6,6,6,6,-1.28463118200163,-0.547899455531665,0.190157069829372,6,6,-0.491831025489678,-0.855973551739081,0.288022336603072,0.493821006524409,-3.11491676592143,6,-1.68327852970004,1.32906468871876,0.0272319955259759,6,6,6,1.8333985701447,6,1.96306121171344,-3.98165374897093,6,-4.0332356514858,6
"GO:0006915",-0.646081138807323,0.646714292948612,0.0578795274598279,6,6,6,6,6,6,6,6,6,6,6,-1.10066844271111,6,-0.414857770397955,0.118981722010698,6,6,6,-0.575193879296506,0.334743330370861,0.447530934864175,6,-0.175219447341059,6,1.33807762761488,0.452164630506045,0.404153387294546,1.62026145183648,6,6,6,0.450055718298258,6,6,-4.29688917956393,-3.69971527096822
"GO:0006936",6,0.681272482179096,0.094182978666909,6,6,-1.50369725317779,6,6,-0.193312343868927,-1.05299928742963,6,-1.07430075199523,6,0.6920377388085,-1.41627103020575,-1.49903157391724,-1.03143153871941,0.117165593957548,6,-0.618700761070349,6,-1.10751224648296,-0.561319436366002,0.639500940370983,-2.71386784254943,6,-1.56407662975878,1.27903794436415,0.335978165019104,-0.351127738500397,1.43092634108503,6,1.86955602260019,1.19711869370466,-0.167696953912587,-3.60346326152096,-4.28037818063836,-4.54458548985677,-3.62300767413745
"GO:0006954",-0.724677794469965,0.706582751239082,-1.02828776547825,-0.481554505226257,0.545704598365477,-0.198318561142431,6,6,-1.26051440640093,0.58984206746734,0.451523685801993,0.213964740004589,-0.0509483675501561,0.801315048460461,0.148998320030237,-0.705032079022915,-0.644854013406388,-0.715541315771887,-2.04067978075031,-0.75443715614401,0.557600906399423,-1.07311696358072,-0.660525711887402,0.397565384298733,-2.4608553200977,-0.0826769019471414,-1.69159155337449,0.846480903346914,-0.0632542061866345,-0.28035221374556,1.81180093871389,-0.852661649490344,1.74376403143687,1.59028988055766,1.8743308974029,-3.69481545568995,-4.05385945383397,-4.98439562185665,-3.74572624987605
"GO:0007009",6,0.573893728907653,6,6,-0.453432825945924,6,6,6,-0.119650779286343,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.334097428500484,-0.156999810591226,-3.33613767330497,6,6,0.955233762302359,6,6,0.283515873115551,2.03531196675046,6,1.7121780809784,1.28926423737963,6,6,6,6
"GO:0007051",6,-0.0179705862128223,0.236626101089128,-1.77736200740798,0.172136225866686,-0.214399359805334,6,6,6,6,6,6,0.352657150214032,1.16451178702673,6,-2.08256333620919,6,0.184672900460278,6,6,6,-1.81469499455328,-0.174273187852712,0.556823484335398,-2.48157218094902,6,6,1.19687208849121,0.10936452405978,6,6,6,6,-0.391138074045081,0.190996624538542,-3.96730404834378,6,-5.26541494302649,6
"GO:0007059",-0.906100283909797,0.709857905689465,0.545082647380099,-2.04129673488992,6,-0.0331568766819526,6,6,-0.765937962171261,6,0.973281574674917,6,-2.67210820649446,0.347826523097305,6,-1.99147279915185,-0.637417913263836,-0.924422363479774,-0.932292544340184,6,6,-1.62477649440201,-0.581193824404113,0.270863854893493,-2.86605776748953,6,6,1.16842826864834,0.507515622816278,6,1.23476279029635,1.40731652583461,2.25971062926692,1.62711579163691,0.767407500093324,-4.05846873822473,6,-5.03616165332363,6
"GO:0007249",6,0.081552276981352,0.0441471947590625,6,6,0.187540277846214,6,6,-0.697121519023979,6,0.0153941771712464,6,-0.883366380559519,6,-0.765918124631952,6,-1.14116438689586,0.0601776924162505,-1.95738556517519,0.466679990450216,6,-0.825819785342669,0.635083969218659,-0.0384667765877259,-2.49050828668396,6,0.511196863128178,1.22357082253449,0.056700825624665,6,1.58881044972192,1.53364645618938,1.94169599518027,1.75104038655565,0.541201536191975,-4.0688766599422,6,-4.34562768137134,-3.84913015637584
"GO:0007268",6,6,6,6,6,-0.27639737666868,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.0776391449978675,0.495368821863723,6,6,6,6,6,6,6,6,1.70702503186227,6,6,6,6,-4.45971315339914,-3.77059238367996
"GO:0007269",6,0.832269885848666,0.311619707830963,6,6,0.825922935919668,6,6,-1.06785815249037,6,6,6,6,1.28207941209005,6,-1.65926487953601,6,0.118698211069815,6,0.600979302228619,6,-1.16522496769394,-0.122435025634766,6,6,6,6,0.360869504329387,6,0.200622893680369,6,6,1.61648683224966,6,1.25259024658168,-4.04107284392634,-3.85455059977997,-4.62655499309864,6
"GO:0007568",-0.229923468026871,1.23084454091586,0.401487510072942,-1.17466498650029,0.525429781527572,0.273635727957502,6,6,0.272539948807753,-1.38372795832413,0.249972932456402,0.201009326851665,-0.959732872088078,1.41370183667174,-0.46861119149032,-1.72871080214365,-0.540871167637791,-0.0216291958590766,-2.44655583174536,-0.128499874415439,-1.16553774034241,-0.957087432798074,0.121670625323053,0.0994631624215702,-4.06150754537296,-1.45306295518299,-0.749001657453919,1.2380819192841,-0.20689399834379,-0.0220867519377589,1.47902039871391,1.18544843285393,2.11657692026185,1.37907661341361,1.05300019085751,-3.53974565631488,-3.91906687285677,-3.92453523837461,-3.53311296045748
"GO:0007588",6,0.943629701257569,0.11994229593942,6,6,-1.19909848834807,6,6,6,6,6,6,6,6,6,6,-0.405541606112619,0.339610313631219,6,6,6,6,-0.17598272905559,0.0830971784501115,6,6,6,1.10282317961199,-0.205814897307203,-0.23765846498117,6,6,2.07366950860622,1.88135305691922,1.53670690326585,-4.27306938170706,-3.59335402768545,-4.10089579280939,-3.74572624987605
"GO:0007612",6,-0.511663549357851,0.455793533678535,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.0613481624775866,6,6,6,-0.803771451093308,-0.229054066882032,6,6,6,6,6,6,6,6,6,1.67939512094961,6,1.96120048292983,-4.09251515854305,6,-4.46184313862773,6
"GO:0008015",6,6,6,6,6,6,6,6,-0.891828311641053,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"GO:0008137",6,0.770355831304693,0.465307593471245,6,6,6,6,6,6,6,0.630974277677748,6,6,6,6,6,6,6,6,6,6,0.129108580910935,-0.494800721369577,6,6,6,6,1.28970021396173,6,-0.0828187416278174,6,6,6,6,6,6,6,6,6
"GO:0008152",6,6,6,6,6,6,6,6,-0.78674018095744,6,6,6,6,6,6,6,-0.390203541105281,6,6,6,6,6,0.0157536922698112,6,6,6,6,6,6,6,6,6,6,1.37100988758071,6,6,6,6,6
"GO:0008283",6,0.661480623734683,6,-1.89232697608949,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-0.521452321854172,6,6,6,-0.584547721091275,0.842171634803985,6,6,6,0.729461632227342,6,6,6,6,6,1.80084509171702,6,6,-3.32195086826883,-4.73388364901331,6
"GO:0009058",6,0.962877782096398,6,6,6,6,6,6,6,6,6,6,6,1.46422648023697,6,6,6,6,-1.65922717331091,6,6,-0.487740658395367,-0.0415139971861738,6,6,6,6,6,6,6,6,6,2.17096595592417,6,1.47704638961079,-3.65387741711311,6,6,6
"GO:0009611",0.00253315663863498,0.533637038108437,0.405308034720218,-0.988734329887024,0.560097033184618,-0.0515982223065048,6,0.055607143863434,-0.759428049834342,-0.780334735389961,0.244870133393221,0.096189429692226,0.248061639274933,1.66956998360582,0.127204717417388,-1.72178538049537,-0.211179097063253,-1.30147112172201,-1.46505907516491,0.279072181682788,-0.609932626021932,-0.584242408097401,0.28763795908534,0.317270590328688,-3.02887381580016,-1.377103880281,-1.1756078942228,0.862678491069907,-1.0229678278503,0.1287194914865,1.91765338529185,1.52485855207018,1.4853375935072,1.45661019866721,1.80826406033838,-5.58050613572641,-3.95501455006871,-3.84691160673833,-3.88184124675566
"GO:0009653",6,6,6,6,-0.493005115030181,0.352609199175982,6,6,-0.606447584956242,6,0.323189665476811,6,-1.92312738944868,6,6,6,-0.364500759604085,-0.682099697305032,6,6,6,-1.05799830671457,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-4.38836403022195,6
"GO:0009790",-1.28755538136371,0.298499278023346,0.908316168476762,-2.30895372620638,0.869301733561029,-0.444156873142116,6,-0.836344372184556,-0.500270655894177,0.867597574288714,0.570518784669417,-1.03124908469988,-1.49466651537197,0.422805233862546,-1.50653234664044,-1.85366001077375,-0.537411877904051,0.208566466012521,-1.24147103961022,0.937543092999015,-1.15914402365117,-0.780714823700934,0.025564818344582,0.284584495701327,-3.42357922012105,-0.75569636541747,-1.02228590622809,0.943900508795094,-1.47446996050553,0.960853111566087,1.8153250213492,1.29241915310628,1.52834914760712,1.58708917102631,0.453780631283848,-4.30468098682531,-4.10642288875744,-4.81190201118761,-3.75162923212193
"GO:0010463",6,0.647975457413191,6,-0.918999215219596,6,0.220095694850669,6,6,0.152790865555671,6,6,-0.364422525281822,6,6,6,-1.39497184482141,-0.411792417914967,-0.798667286798536,6,6,-1.22251771919687,-0.74868171897681,-1.00239669564186,6,6,6,6,6,0.0966482601617612,-0.316458163620709,1.37636612610497,6,6,1.70832062071825,1.21673883493274,-4.05401812063887,6,-4.8429101592385,6
"GO:0010468",6,0.405645115694825,6,6,6,6,6,6,6,6,0.524529390964619,6,6,1.51246763128245,6,6,-0.498212356354727,-0.0224064466727339,6,6,6,-0.223606206207113,-0.107650055370059,6,6,6,6,6,6,0.133115667037969,6,6,6,6,1.4485481459025,-3.49920145864088,6,-4.90994556363677,6
"GO:0015464",-2.05898975871257,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.138495572917738,6,6,6,6,6,6,6,6,6,1.27222549338007,6,6,6,6,6,-4.00118333734313
"GO:0015631",6,0.404354785387806,6,6,6,6,6,6,6,6,6,6,-0.913252013327197,0.933799104232685,6,6,6,0.0673773442222731,6,6,6,-0.559825178893959,0.18374951398639,0.324329923485553,6,6,6,6,6,6,6,6,1.69435968594003,1.67830110443723,1.02153657061751,6,6,-5.65267772536005,6
