,x,
70,DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS HYPERMETHYLATION IN THE FETAL TESTIS,ABNORMALITY OF THE LEYDIG CELLS
71,DECREASED GLUCOSE OXIDASE ENZYME ACTIVITY,CTOME GLUCOSE METABOLISM
72,BINDING AT PICROTOXIN SITE IGABAR CHLORIDE CHANNEL,REGULATION OF CHLORIDE TRANSPORT
73,NA IN-UTERO DNA TOPOISOMERASE II ??POISONS-,ABNORMALITY OF DNA REPAIR
74,REDUCED PRESYNAPTIC RELEASE OF GLUTAMATE,SYNAPTIC TRANSMISSION GLUTAMATERGIC
75,UPREGULATED SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD2-OOCYTE,CTOME MITOTIC SPINDLE CHECKPOINT
76,"N/A COVALENT BINDING TO PROTEIN, POSSIBLY LYSINE RESIDUE",PEPTIDYL LYSINE MODIFICATION
77,INHIBITION INTERFERENCE OF NFAT COMPLEX FORMATION AT THE SITE OF NUCLEAR CYTOKINE PROMOTERS,NA
78,NA DIRECT MITOCHONDRIAL INHIBITION,CTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA
79,"FAILURE IN GAMMA-GLUTAMYL CARBOXYLATION OF CLOTTING FACTORS II, VII, IX AND X UNDER CARBOXYLATION OF CLOTTING FACTORS EG, DES-GAMMA-CARBOXY PROTHROMBIN",NA
80,ANTICOAGULANT RODENTICIDE INTERFERES WITH CARBOXYLATION OF GLA PROTEINS IN BONE IMPAIRMENT OF POST-TRANSLATIONAL MODIFICATION CARBOXYLATION OF OSTEOCALCIN,NA
81,N/A UNKNOWN,NA
82,DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS ALTERATIONS IN THE FETAL TESTIS PROTEOME,ABNORMALITY OF THE LEYDIG CELLS
83,DISPLACEMENT SERUM THYROXINE T4 FROM TRANSTHYRETIN,CTOME THYROXINE BIOSYNTHESIS
84,UNKNOWN MIE,NA
85,NA MITOCHONDRIAL IMPAIRMENT,CTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA
