AOP,AOP name,Event,Event Process,Event Action,Level of Organisation,Process_merged,Ontology_ID,Object,Ontology_ID,Action,Ontology_ID,Cell Context,  ,Organ Context,Ontology_ID
Aop:41,Sustained AhR Activation leading to Rodent Liver Tumours,Event:854,Cellular proliferation / hyperplasia,Alterations,Tissue,hyperplasia,D006965,hepatic oval stem cell,CL:0002196,increased process quality,PATO:0002304,,,liver,UBERON:0002107
Aop:41,Sustained AhR Activation leading to Rodent Liver Tumours,Event:854,Cellular proliferation / hyperplasia,Alterations,Tissue,hyperplasia,D006965,intrahepatic bile duct epithelial cell,CL:0002538,increased process quality,PATO:0002304,,,liver,UBERON:0002107
Aop:51,PPARalpha activation leading to impaired fertility in adult male rodents,Event:415,Leydig cell,Hyperplasia,Cellular,hyperplasia,D006965,,,increased process quality,PATO:0002304,Leydig cell,CL:0000178,,
Aop:105,Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat),Event:767,Hyperplasia (renal tubular cells),Increase,Cellular,Hyperplasia,D006965,kidney tubule cell,CL:1000507,increased process quality,PATO:0002304,kidney tubule cell,CL:1000507,,
Aop:109,Cytotoxicity leading to bronchioloalveolar adenomas and carcinomas (in mouse),Event:735,Hyperplasia (terminal bronchiolar cells),Increase,Cellular,hyperplasia,D006965,bronchial epithelial cell,CL:0002328,increased process quality,PATO:0002304,bronchial epithelial cell,CL:0002328,terminal bronchiole epithelium,UBERON:0001958 
Aop:110,Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse),Event:740,Hyperplasia (follicular cells),Increase,Cellular,hyperplasia,D006965,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,thyroid follicular cell,CL:0002258,,
Aop:119,Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse),Event:740,Hyperplasia (follicular cells),Increase,Cellular,hyperplasia,D006965,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,thyroid follicular cell,CL:0002258,,
Aop:121,Urinary bladder calculi leading to urothelial papillomas and carcinomas (in mouse and rat),Event:796,Hyperplasia (urothelial),Increase,Cellular,hyperplasia,D006965,urothelial cell,CL:0000731,increased process quality,PATO:0002304,urothelial cell,CL:0000731,,
Aop:148,EGFR Activation Leading to Mucus Hypersecretion,Event:921,Hyperplasia of goblet cells,Increase,Tissue,hyperplasia,D006965,goblet cell ,CL:0000160,occurrence,PATO:0000057,,,lung,UBERON:0002048
Aop:162,Enhanced hepatic clearance of thyroid hormones leading to thyroid follicular cell adenomas and carcinomas (in rat and mouse),Event:1025,Hyperplasia (follicular cells),Increased,Tissue,hyperplasia,D006965,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,,,thyroid gland,UBERON:0002046 
Aop:165,Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse,Event:1051,ovarian stromal cells,Hyperplasia,Cellular,hyperplasia,D006965,stromal cell of ovary,CL:0002132,increased process quality,PATO:0002304,stromal cell of ovary,CL:0002132,,
Aop:165,Antiestrogen activity leading to ovarian adenomas and granular cell tumors in the mouse,Event:1052,ovarian epithelium,Hyperplasia,Tissue,hyperplasia,D006965,epithelium of female gonad,UBERON:0004911,increased process quality,PATO:0002304,,,epithelium of female gonad,UBERON:0004911
Aop:167,Early-life estrogen receptor activity leading to endometrial carcinoma in the mouse.,Event:1069,Hyperplasia (glandular epithelial cells of endometrium),Increased,Cellular,hyperplasia,D006965,glandular epithelial cell,CL:0000150,increased process quality,PATO:0002304,glandular epithelial cell,CL:0000150,,
Aop:169,GnRH pulse disruption leading to pituitary adenomas and carcinomas in the SD rat.,Event:1081,lactotroph hyperplasia and hypertrophy,Increased,Cellular,hyperplasia,D006965,prolactin secreting cell,CL:0000439,increased process quality,PATO:0002304,prolactin secreting cell ,CL:0000439,,
Aop:170,Anti-dopaminergic activity leading to mammary adenomas and carcinomas in the rat,Event:1085,hyperplasia (mammary gland),Increased,Tissue,hyperplasia,D006965,mammary gland,UBERON:0001911,increased process quality,PATO:0002304,,,mammary gland,UBERON:0001911
Aop:200,Estrogen receptor activation leading to breast cancer,Event:1192,Ductal Hyperplasia,Increased,Tissue,hyperplasia,D006965,,,increased process quality        ,PATO:0002304,,,mammary duct,UBERON:0001765
Aop:110,Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse),Event:739,Hypertrophy and proliferation (follicular cell),Increase,Cellular,hypertrophy,D006984,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,thyroid follicular cell,CL:0002258,,
Aop:119,Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse),Event:739,Hypertrophy and proliferation (follicular cell),Increase,Cellular,hypertrophy,D006984,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,thyroid follicular cell,CL:0002258,,
Aop:162,Enhanced hepatic clearance of thyroid hormones leading to thyroid follicular cell adenomas and carcinomas (in rat and mouse),Event:1024,Hypertrophy and proliferation (follicular cell),Increased,Cellular,hypertrophy,D006984,thyroid follicular cell,CL:0002258,increased process quality,PATO:0002304,thyroid follicular cell,CL:0002258,,
Aop:164,Beta-2 adrenergic agonist activity leading to mesovarian leiomyomas in the rat and mouse,Event:1043,smooth muscle,Hypertrophy/hyperplasia,Cellular,hypertrophy,D006984,smooth muscle tissue,UBERON:0001135,increased process quality,PATO:0002304,,,,
Aop:169,GnRH pulse disruption leading to pituitary adenomas and carcinomas in the SD rat.,Event:1081,lactotroph hyperplasia and hypertrophy,Increased,Cellular,hypertrophy,D006984,prolactin secreting cell,CL:0000439,increased process quality,PATO:0002304,prolactin secreting cell ,CL:0000439,,
Aop:154,The Adverse Outcome Pathway on binding of FK506-binding protein 12 (FKBP12) by calcineurin inhibitors leading to immunosuppression,Event:984,Suppression of transplant rejection,Suppression,Individual,Immunosuppression,D007165,,,increased process quality,PATO:0002304,,,,
Aop:177,Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality,Event:1105,renal ischemia,Occurrence,Tissue,ischemia,D007511,kidney,UBERON:0002113,occurrence,PATO:0000057,,,,
Aop:60,"NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis",Event:477,Ketogenesis,Decreased,Cellular,Ketosis,D007662,,,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:29,Estrogen receptor agonism leading to reproductive dysfunction,Event:252,Renal pathology due to VTG deposition,Increase,Organ,Kidney Diseases,D007674,,,increased process quality,PATO:0002304,,,kidney,UBERON:0002113
Aop:148,EGFR Activation Leading to Mucus Hypersecretion,Event:920,Metaplasia of goblet cells,Increase,Tissue,Metaplasia,D008679,goblet cell ,CL:0000160,occurrence,PATO:0000057,,,lung,UBERON:0002048
Aop:4,Ecdysone receptor agonism leading to mortality,Event:351,Mortality,Increase,Individual,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:16,Acetylcholinesterase inhibition leading to acute mortality,Event:351,Mortality,Increased,Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:21,Activation of the aryl hydrocarbon receptor (AhR) leading to early life stage mortality,Event:350,"Increase, Mortality","Increase, Mortality",Individual,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:96,Axonal sodium channel modulation leading to acute mortality,Event:351,Mortality,Increased,Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:104,Altered ion channel activity leading impaired heart function,Event:351,Mortality,Increased,Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:113,Glutamate-gated chloride channel activation leading to acute mortality,Event:351,Mortality,Increased,Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:138,Organic anion transporter (OAT1) inhibition leading to renal failure and mortality,Event:351,"Increased, Mortality","Increased, Mortality",Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:160,Ionotropic gamma-aminobutyric acid receptor activation mediated neurotransmission inhibition leading to mortality,Event:351,Mortality,Increased,Population,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:161,Glutamate-gated chloride channel activation leading to neurotransmission inhibition associated mortality,Event:351,Mortality,Increased,Individual,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:177,Cyclooxygenase 1 (COX1) inhibition leading to renal failure and mortality,Event:351,Mortality,Increased,Individual,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:186,unknown MIE leading to renal failure and mortality,Event:351,Mortality,Increased,Individual,mortality,D009026,,,increased process quality,PATO:0002304,,,,
Aop:187,Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,Event:1135,"Acidosis, hypovolemic shock and organ dysfunction",Reduced fitness or even mortality,Tissue,mortality,D009026,,,increased object quality,PATO:0002305,,,,
Aop:15,Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,Event:185,Mutations,Increase,Molecular,mutation,D009154,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:15,Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,Event:336,Heritable mutations in offspring,Increase,Individual,mutation,D009154,DNA,CHEBI:16991,increased process quality,PATO:0002304,,,,
Aop:46,AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC),Event:376,Induced Mutations in Critical Genes,Increased,Cellular,mutation,D009154,cellular tumor antigen p53,PR:000003035,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:136,Intracellular Acidification Induced Olfactory Epithelial Injury Leading to Site of Contact Nasal Tumors,Event:876,Mutations in Critical Genes,Increase,Molecular,mutation,D009154,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:139,Alkylation of DNA leading to cancer 2,Event:185,Mutations,Increase,Molecular,mutation,D009154,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:141,Alkylation of DNA leading to cancer 3,Event:185,Mutations,Increase,Molecular,mutation,D009154,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:39,Sensitisation of the Respiratory Tract induced by Covalent Binding of Low Molecular Weight Organic Chemicals to Proteins,Event:313,Allergic Respiratory Hypersensitivity Response,Increase,Organ,Respiratory Hypersensitivity,D012130,,,increased process quality,PATO:0002304,,,lung,UBERON:0002048
Aop:184,Nosema infection causes abnormal role change that leads to colony loss/failure,Event:1108,Role change within caste,Abnormal,Population,role,D012380,,,abnormal,PATO:0000460,,,,
Aop:52,ER agonism leading to skewed sex ratios due to altered sexual differentiation in males,Event:417,sex ratio,skewed,Population,sex ratio,D012744,,,deviation(from_normal),PATO:0000069,,,,
Aop:81,Increased metabolic stress contributes to abnormal foraging and leads to colony loss/failure,Event:573,Energetic demands and therefore metabolic stress,Increase,Individual,"Stress, Physiological",D013312,,,increased process quality,PATO:0002304,,,,
Aop:183,Nosema infection increases energetic demands leading to colony loss/failure,Event:1110,Energetic demands and therefore metabolic stress,Increased,Individual,"Stress, Physiological",D013312,,,increased process quality,PATO:0002304,,,,
Aop:155,Deiodinase 2 inhibition leading to reduced young of year survival via posterior swim bladder inflation,Event:1006,Young of year survival,Reduced,Individual,survival,D013534,,,decreased object quality,PATO:0002303,,,,
Aop:156,Deiodinase 2 inhibition leading to reduced young of year survival via anterior swim bladder inflation,Event:1006,Young of year survival,Reduced,Individual,survival,D013534,,,decreased object quality,PATO:0002303,,,,
Aop:157,Deiodinase 1 inhibition leading to reduced young of year survival via posterior swim bladder inflation,Event:1006,Young of year survival,Reduced,Individual,survival,D013534,,,decreased object quality,PATO:0002303,,,,
Aop:158,Deiodinase 1 inhibition leading to reduced young of year survival via anterior swim bladder inflation,Event:1006,Young of year survival,Reduced,Individual,survival,D013534,,,decreased object quality,PATO:0002303,,,,
Aop:159,Thyroperoxidase inhibition leading to reduced young of year survival via anterior swim bladder inflation,Event:1006,Young of year survival,Reduced,Individual,survival,D013534,,,decreased object quality,PATO:0002303,,,,
Aop:202,In-utero DNA topoisomerase II poisons leading to infant leukaemia,Event:1253,In utero MLL chromosomal translocation,,Cellular,"Translocation, Genetic",D014178,,,occurrence,PATO:0000057,embryonic cell,CL:0002321,,
Aop:77,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:77,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure 1,Event:1107,"Weakened, Colony","Weakened, Colony",Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:78,Nicotinic acetylcholine receptor activation contributes to abnormal roll change within the worker bee caste leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:79,Nicotinic acetylcholine receptor activation contributes to impaired hive thermoregulation and leads to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:79,Nicotinic acetylcholine receptor activation contributes to impaired hive thermoregulation and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:80,Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,Colony Collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:81,Increased metabolic stress contributes to abnormal foraging and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:82,Abnormal roll change in worker caste contributes to reduced brood care and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:84,Suppression of immune system contributes to impaired development and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:85,Suppression of immune system contributes to abnormal foraging and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:86,Decrease Glucose oxidase activity contributes to reduction of antiseptic in food and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:87,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:87,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure 2,Event:1107,"Weakened, Colony","Weakened, Colony",Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:88,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure via abnormal role change within caste,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:88,Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony loss/failure via abnormal role change within caste,Event:1107,"Weakened, Colony","Weakened, Colony",Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:89,Nicotinic acetylcholine receptor activation followed by desensitization contributes to abnormal foraging and directly leads to colony loss/failure                         ,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:89,Nicotinic acetylcholine receptor activation followed by desensitization contributes to abnormal foraging and directly leads to colony loss/failure                         ,Event:1107,"Weakened, Colony","Weakened, Colony",Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:90,Nicotinic acetylcholine receptor activation contributes to abnormal roll change within the worker bee caste leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:178,Nicotinic acetylcholine receptor activation contributes to mitochondrial dysfunction and leads to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:178,Nicotinic acetylcholine receptor activation contributes to mitochondrial dysfunction and leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:179,Varroa mite infestation increases virus levels leading to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:179,Varroa mite infestation increases virus levels leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:180,Varroa mite infestation contributes to abnormal foraging leading to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:180,Varroa mite infestation contributes to abnormal foraging leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:181,Weather event contributes to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:181,Weather event contributes to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:182,Weather event contributes abnormal foraging leading to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:182,Weather event contributes abnormal foraging leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:183,Nosema infection increases energetic demands leading to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:183,Nosema infection increases energetic demands leading to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:184,Nosema infection causes abnormal role change that leads to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:184,Nosema infection causes abnormal role change that leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:185,Queen egg-laying decrease leads to colony loss/failure,Event:1107,Colony,Weakened,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:185,Queen egg-laying decrease leads to colony loss/failure,Event:563,Colony,Loss/Failure,Population,colony collapse,D056631,,,increased process quality,PATO:0002304,,,,
Aop:3,Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits,Event:889,Proteostasis,impaired,Cellular,Proteostasis deficiencies,D057165,protein,CHEBI:36080,deviation(from_normal),PATO:0000069,eukaryotic cell,CL:0000255,,
Aop:187,Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,Event:1151,Bone deterioration,Osteoporosis and vascular calcification,Individual,vascular calcification,D061205,vasculature ,UBERON:0002049,increased process quality,PATO:0002304,,,,
Aop:100,Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior,Event:675,Reproductive Success,Reduced,Individual,reproductive process,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:101,Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of pheromone release,Event:675,Reproductive Success,Reduced,Individual,reproductive process,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:102,Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition,Event:675,Reproductive Success,Reduced,Individual,reproductive process,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:103,Cyclooxygenase inhibition leading to reproductive dysfunction via interference with spindle assembly checkpoint,Event:675,Reproductive Success,Reduced,Individual,reproductive process,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:207,NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans : Case study on silver nanoparticle,Event:1277,Reproductive failure,,Individual,reproduction,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:208,Janus kinase (JAK)/Signal transducer and activator of transcription (STAT) and Transforming growth factor (TGF)-beta pathways activation leading to reproductive failure,Event:1277,Reproductive failure,,Individual,reproduction,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:210,Activation of c-Jun N-terminal kinase (JNK) and Forkhead box O (FOXO) and reduction of WNT pathways leading to reproductive failure: Integrated multi-OMICS approach for AOP building ,Event:1277,Reproductive failure,,Individual,reproduction,GO:0000003,,,decreased process quality,PATO:0002302,,,,
Aop:91,Sodium channel inhibition leading to reduced survival,Event:585,Action Potential,Inhibition,Cellular,action potential,GO:0001508,,,decreased process quality,PATO:0002302,,,,
Aop:93,sodium channel inhibition leading to increased predation,Event:585,Action Potential,Inhibition,Cellular,action potential,GO:0001508,,,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:94,Sodium channel inhibition leading to congenital malformations,Event:585,Action Potential,Inhibition,Cellular,action potential,GO:0001508,,,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:95,Ether-a-go-go (ERG) voltage-gated potassium channel inhibition leading to reduced survival,Event:585,Action Potential,Inhibition,Cellular,action potential,GO:0001508,,,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:104,Altered ion channel activity leading impaired heart function,Event:698,Action Potential,Altered,Cellular,action potential,GO:0001508,,,deviation(from_normal),PATO:0000069,eukaryotic cell,CL:0000255,,
Aop:100,Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior,Event:672,"Prostaglandin F2alpha synthesis, ovary",Reduced,Organ,prostaglandin biosynthetic process,GO:0001516,prostaglandin F2alpha,CHEBI:15553,decreased process quality,PATO:0002302,,,female gonad,UBERON:0000992
Aop:101,Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of pheromone release,Event:681,"Prostaglandin F2alpha synthesis, ovary",Decreased,Organ,prostaglandin biosynthetic process,GO:0001516,prostaglandin F2alpha,CHEBI:15553,decreased process quality,PATO:0002302,,,female gonad,UBERON:0000992
Aop:43,Disruption of VEGFR Signaling Leading to Developmental Defects,Event:28,Angiogenesis,Reduction,Cellular,angiogenesis,GO:0001525,,,decreased process quality,PATO:0002302,stromal cell,CL:0000499,,
Aop:200,Estrogen receptor activation leading to breast cancer,Event:1213,Angiogenesis,Increased,Cellular,angiogenesis,GO:0001525,,,increased process quality        ,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:23,Androgen receptor agonism leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,oocyte growth,GO:0001555,,,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:25,Aromatase inhibition leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,oocyte growth,GO:0001555,,,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:30,Estrogen receptor antagonism leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,oocyte growth,GO:0001555,,,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:122,Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,oocyte growth,GO:0001555,,,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:123,Unknown MIE leading to reproductive dysfunction via increased HIF-1alpha transcription,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,oocyte growth,GO:0001555,,,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:40,Covalent Protein binding leading to Skin Sensitisation,Event:398,Dendritic Cells,Activation,Cellular,cell activation,GO:0001775,,,increased process quality,PATO:0002304,dendritic cell,CL:0000451,,
Aop:71,Modulation of Adult Leydig Cell Function Subsequent to Glucocorticoid Activation,Event:650,Increased Glucocorticoid,Stimulation of adult Leydig cells via the Adrenal Corticosterone,Molecular,cell activation,GO:0001775,,,increased process quality,PATO:0002304,Leydig cell,CL:0000178,,
Aop:154,The Adverse Outcome Pathway on binding of FK506-binding protein 12 (FKBP12) by calcineurin inhibitors leading to immunosuppression,Event:981,Suppression of cytokine production in the presence of T-cell activation,Suppression,Cellular,cell activation,GO:0001775,,,increased process quality,PATO:0002304,T-cell,CL:0000084,,
